V(eV),I_dephasing(arb.)
-2.000000000000000000e+00,3.321258863253201833e-49
-1.949999999999999956e+00,2.120233855079318450e-34
-1.899999999999999911e+00,6.346073999752909168e-34
-1.850000000000000089e+00,1.511226609279271170e-33
-1.800000000000000044e+00,3.377581719521630856e-33
-1.750000000000000000e+00,7.430020778337764149e-33
-1.699999999999999956e+00,1.638243379133991955e-32
-1.649999999999999911e+00,3.650367624903540153e-32
-1.600000000000000089e+00,8.290974317131542702e-32
-1.550000000000000044e+00,2.524742354275917836e-31
-1.500000000000000000e+00,1.616432158086321674e-29
-1.449999999999999956e+00,2.535621129978369647e-28
-1.399999999999999911e+00,1.972070416382881888e-27
-1.350000000000000089e+00,1.297441446415491086e-26
-1.299999999999999822e+00,8.098396740377038161e-26
-1.250000000000000000e+00,4.993153009252386854e-25
-1.199999999999999956e+00,3.069346236372669891e-24
-1.149999999999999911e+00,1.885950700016128253e-23
-1.100000000000000089e+00,1.158944712761279781e-22
-1.049999999999999822e+00,7.123598415936798736e-22
-1.000000000000000000e+00,4.379849442982099283e-21
-9.499999999999999556e-01,2.693726885282827804e-20
-8.999999999999999112e-01,1.657272365369001106e-19
-8.499999999999998668e-01,1.019982189897389789e-18
-7.999999999999998224e-01,6.280057162438605686e-18
-7.500000000000000000e-01,3.868322328162083822e-17
-6.999999999999999556e-01,2.383897804366603507e-16
-6.499999999999999112e-01,1.469870043011541343e-15
-5.999999999999998668e-01,9.068177398369395557e-15
-5.499999999999998224e-01,5.598064946971788115e-14
-5.000000000000000000e-01,3.458312478292720007e-13
-4.499999999999999556e-01,2.138138247495221793e-12
-3.999999999999999112e-01,1.323109875035256324e-11
-3.499999999999998668e-01,8.195878314131736710e-11
-2.999999999999998224e-01,5.082690052802000465e-10
-2.500000000000000000e-01,3.156137656218417002e-09
-1.999999999999999556e-01,1.962657170668323730e-08
-1.499999999999999112e-01,1.222285244716750043e-07
-9.999999999999986677e-02,7.618948410457415656e-07
-4.999999999999982236e-02,4.734178979988523455e-06
0.000000000000000000e+00,2.823201309153490238e-05
5.000000000000026645e-02,1.328464841909513254e-04
1.000000000000000888e-01,4.530819113593927182e-04
1.499999999999999112e-01,1.435037876712843717e-03
2.000000000000001776e-01,3.837274288680448796e-03
2.500000000000000000e-01,7.126758960448635952e-03
3.000000000000002665e-01,1.369979053796401697e-02
3.500000000000000888e-01,2.290392206299059555e-02
4.000000000000003553e-01,3.209520545990299234e-02
4.500000000000001776e-01,4.089066248633039385e-02
5.000000000000000000e-01,5.232267752565905594e-02
5.500000000000002665e-01,6.656020798513284653e-02
6.000000000000000888e-01,8.178264613344331246e-02
6.500000000000003553e-01,9.463321456467731208e-02
7.000000000000001776e-01,1.055264595001041555e-01
7.500000000000000000e-01,1.197335267732479308e-01
8.000000000000002665e-01,1.361298798873892268e-01
8.500000000000000888e-01,1.527579363949041480e-01
9.000000000000003553e-01,1.704841270783340745e-01
9.500000000000001776e-01,1.876432353209741555e-01
1.000000000000000000e+00,2.008252905822708045e-01
1.050000000000000266e+00,2.129494283727283443e-01
1.100000000000000089e+00,2.297326757154656285e-01
1.150000000000000355e+00,2.496967219674820770e-01
1.200000000000000178e+00,2.690044792432551013e-01
1.250000000000000000e+00,2.866257126958879908e-01
1.300000000000000266e+00,3.038543137336453537e-01
1.350000000000000089e+00,3.204387817104324410e-01
1.400000000000000355e+00,3.348617482442130533e-01
1.450000000000000178e+00,3.492880431359218218e-01
1.500000000000000000e+00,3.662185928421503034e-01
1.550000000000000266e+00,3.861601991541016021e-01
1.600000000000000089e+00,4.072815604848404880e-01
1.650000000000000355e+00,4.265960132232654023e-01
1.700000000000000178e+00,4.432138156579322752e-01
1.750000000000000000e+00,4.584289376454886433e-01
1.800000000000000266e+00,4.734223118386324258e-01
1.850000000000000089e+00,4.888944995919760617e-01
1.900000000000000355e+00,5.050442432056791997e-01
1.950000000000000178e+00,5.219216481751636216e-01
2.000000000000000000e+00,5.404310299152176311e-01
